AnimalID,Age,Sex,Genotype,Strain,ExpName,Housing,LightCycle,PISiteUser,SessionName,Image,Image_Description,Analysis_Name,Schedule_Name,Max_Number_Trials,Max_Schedule_Time,Date_Time,AVG_Blank Touch Latency,AVG_Correct Centre touch latency,AVG_Correct Reward Collection,AVG_Correct touch latency,AVG_End Summary - Blank Touches,AVG_End Summary - Centre ITI Touches,AVG_End Summary - Condition,AVG_End Summary - Corrects,AVG_End Summary - Left ITI Touches,AVG_End Summary - Omissions - Omission,AVG_End Summary - Right ITI Touches,AVG_Reward IR Breaks - Reward Beam Cnt,AVG_Screen IR Breaks - Screen IR Cnt,AVG_Tray entered - Cnt,AVG_Trial Analysis - Condition,AVG_Trial Analysis - Correct,AVG_Trial Analysis - Omissions - Omission,AVG_Trial Analysis - Time
D2VG3fx29m8,3_6       ,m,VGLUT3^flox/flox,VGLUT3^D2-Cre-flox/flox,OK_D2CreVGLUT3fx_Extinction,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Extinction_Training,,,Extinction Touch - Helena - DP,EXTINCTION TRAIN,30,750,2015-10-06 3:58:25 PM,1.923705882352941,4.339799999999999,1.3185666666666664,4.339799999999999,49,4,325.19,30,3,,4,35,97,35,183.2052333333333,1,,183.2052333333333
D2VG3fx29m8,3_6       ,m,VGLUT3^flox/flox,VGLUT3^D2-Cre-flox/flox,OK_D2CreVGLUT3fx_Extinction,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Extinction_Training,,,Extinction Touch - Helena - DP,EXTINCTION TRAIN,30,750,2015-10-05 4:04:13 PM,2.4613529411764707,4.0231,1.1314000000000002,4.0231,42,10,310.411,30,11,,12,36,102,45,165.4261666666667,1,,165.4261666666667
D2VG3fx27m3e,3_6       ,m,VGLUT3^flox/flox,VGLUT3^D2-Cre-flox/flox,OK_D2CreVGLUT3fx_Extinction,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Extinction_Training,,,Extinction Touch - Helena - DP,EXTINCTION TRAIN,30,750,2015-09-24 3:48:31 PM,2.3689999999999998,2.3342333333333327,1.2267000000000001,2.3342333333333327,14,4,262.04,30,10,,12,34,97,43,149.0227,1,,149.0227
D2VG3fx27m3e,3_6       ,m,VGLUT3^flox/flox,VGLUT3^D2-Cre-flox/flox,OK_D2CreVGLUT3fx_Extinction,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Extinction_Training,,,Extinction Touch - Helena - DP,EXTINCTION TRAIN,30,750,2015-09-23 4:27:43 PM,2.793733333333333,4.056299999999999,1.2869999999999997,4.056299999999999,37,7,316.559,30,11,,16,39,98,42,180.29093333333333,1,,180.29093333333333
D2VG3fx27m3e,3_6       ,m,VGLUT3^flox/flox,VGLUT3^D2-Cre-flox/flox,OK_D2CreVGLUT3fx_Extinction,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Extinction_Training,,,Extinction Touch - Helena - DP,EXTINCTION TRAIN,30,3600,2015-09-21 2:58:09 PM,5.5814545454545454,8.7438,1.4041333333333335,8.7438,69,,463.258,30,4,,13,37,104,114,301.43143333333336,1,,301.43143333333336
D2VG3fx39m6,3_6       ,m,VGLUT3^D2-Cre-flox/flox,VGLUT3^D2-Cre-flox/flox,OK_D2CreVGLUT3fx_Extinction,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Extinction_Training,,,Extinction Touch - Helena - DP,EXTINCTION TRAIN,30,750,2015-12-21 5:46:51 PM,2.3619285714285714,2.323466666666667,0.8723999999999997,2.3234666666666666,25,21,250.933,30,16,,15,,91,47,128.85866666666666,1,,128.85866666666666
D2VG3fx39m6,3_6       ,m,VGLUT3^D2-Cre-flox/flox,VGLUT3^D2-Cre-flox/flox,OK_D2CreVGLUT3fx_Extinction,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Extinction_Training,,,Extinction Touch - Helena - DP,EXTINCTION TRAIN,30,750,2015-12-18 5:10:17 PM,1.2950625,1.5049333333333335,0.6819666666666667,1.5049333333333335,28,54,220.663,30,17,,22,,89,36,118.84340000000002,1,,118.84340000000002
D2VG3fx31m8,3_6       ,m,VGLUT3^flox/flox,VGLUT3^D2-Cre-flox/flox,OK_D2CreVGLUT3fx_Extinction,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Extinction_Training,,,Extinction Touch - Helena - DP,EXTINCTION TRAIN,30,750,2015-10-21 4:21:37 PM,1.656636363636364,2.4797000000000002,1.0694000000000001,2.4797000000000002,19,12,261.527,30,5,,3,36,103,30,134.7706,1,,134.7706
D2VG3fx31m8,3_6       ,m,VGLUT3^flox/flox,VGLUT3^D2-Cre-flox/flox,OK_D2CreVGLUT3fx_Extinction,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Extinction_Training,,,Extinction Touch - Helena - DP,EXTINCTION TRAIN,30,750,2015-10-19 4:18:38 PM,2.3600000000000003,11.21273333333333,1.2472333333333334,11.21273333333333,66,4,528.86,30,2,,19,42,165,32,387.64526666666666,1,,387.6452666666667
D2VG3fx29m4,3_6       ,m,VGLUT3^flox/flox,VGLUT3^D2-Cre-flox/flox,OK_D2CreVGLUT3fx_Extinction,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Extinction_Training,,,Extinction Touch - Helena - DP,EXTINCTION TRAIN,30,750,2015-10-08 4:37:47 PM,13.5011,37.477312500000004,1.692764705882353,37.477312500000004,74,,750,16,,,,37,158,36,406.8713333333333,1,,406.8713333333333
D2VG3fx31m7,3_6       ,m,VGLUT3^D2-Cre-flox/flox,VGLUT3^D2-Cre-flox/flox,OK_D2CreVGLUT3fx_Extinction,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Extinction_Training,,,Extinction Touch - Helena - DP,EXTINCTION TRAIN,30,750,2015-10-07 4:10:39 PM,8.1613,6.9199666666666655,1.2906,6.9199666666666655,28,4,401.363,30,,,1,50,,48,277.9801333333333,1,,277.9801333333333
D2VG3fx29m4,3_6       ,m,VGLUT3^flox/flox,VGLUT3^D2-Cre-flox/flox,OK_D2CreVGLUT3fx_Extinction,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Extinction_Training,,,Extinction Touch - Helena - DP,EXTINCTION TRAIN,30,750,2015-10-06 3:57:47 PM,15.319454545454546,62.1597,1.1626,62.1597,118,,750,10,,,,51,209,50,308.45950000000005,1,,308.45950000000005
