AnimalID,Age,Sex,Genotype,Strain,ExpName,Housing,LightCycle,PISiteUser,SessionName,Image,Image_Description,Analysis_Name,Schedule_Name,Max_Number_Trials,Max_Schedule_Time,Date_Time,AVG_Blank Touch Latency,AVG_Correct Centre touch latency,AVG_Correct Reward Collection,AVG_Correct touch latency,AVG_End Summary - Blank Touches,AVG_End Summary - Centre ITI Touches,AVG_End Summary - Condition,AVG_End Summary - Corrects,AVG_End Summary - Left ITI Touches,AVG_End Summary - Omissions - Omission,AVG_End Summary - Right ITI Touches,AVG_Omission to Tray Latency,AVG_Reward IR Breaks - Reward Beam Cnt,AVG_Screen IR Breaks - Screen IR Cnt,AVG_Tray entered - Cnt,AVG_Trial Analysis - Condition,AVG_Trial Analysis - Correct,AVG_Trial Analysis - Omissions - Omission,AVG_Trial Analysis - Time
ires37m9,3_6       ,m,VGLUT3^flox/flox,VGLUT3^ChAT-IRES-flox/flox,OK_ChATIRESVGLUT3fx_Extinction,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Extinction_Probe,,,Extinction Touch - Helena - DP,EXTINCTION TEST - Helena,30,0,2015-11-30 6:19:48 PM,4.449777777777778,11.880357142857145,20.145818181818186,5.4515,16,1,637.663,14,3,,1,,43,220,25,308.43133333333327,1,,308.43133333333327
ires41m3,3_6       ,m,VGLUT3^flox/flox,VGLUT3^ChAT-IRES-flox/flox,OK_ChATIRESVGLUT3fx_Extinction,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Extinction_Probe,,,Extinction Touch - Helena - DP,EXTINCTION TEST - Helena,30,0,2015-12-14 4:25:41 PM,6.147428571428572,562.582,,7.312,18,,732.64,1,3,1,2,0.247,17,132,6,374.19089999999994,1,1,374.1909000000001
ires41m3,3_6       ,m,VGLUT3^flox/flox,VGLUT3^ChAT-IRES-flox/flox,OK_ChATIRESVGLUT3fx_Extinction,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Extinction_Probe,,,Extinction Touch - Helena - DP,EXTINCTION TEST - Helena,30,0,2015-12-09 4:31:10 PM,5.405428571428571,112.34959999999998,54.497,7.7914,17,,741.902,5,2,1,1,32.772,17,102,9,384.49039999999997,1,1,384.49039999999997
ires39m2,3_6       ,m,VGLUT3^ChAT-IRES-flox/flox,VGLUT3^ChAT-IRES-flox/flox,OK_ChATIRESVGLUT3fx_Extinction,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Extinction_Probe,,,Extinction Touch - Helena - DP,EXTINCTION TEST - Helena,30,0,2015-12-01 5:09:21 PM,7.865,71.2585,42.652499999999996,3.4685,2,,694.922,2,1,1,7,57.661,16,95,27,352.7923666666666,1,1,352.7923666666666
ires39m1,3_6       ,m,VGLUT3^ChAT-IRES-flox/flox,VGLUT3^ChAT-IRES-flox/flox,OK_ChATIRESVGLUT3fx_Extinction,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Extinction_Probe,,,Extinction Touch - Helena - DP,EXTINCTION TEST - Helena,30,0,2015-12-01 5:04:08 PM,3.3618888888888887,12.106349999999999,11.207875,4.516699999999999,36,,544.853,20,1,,21,,35,130,62,281.15070000000003,1,,281.15070000000003
ires41m2,3_6       ,m,VGLUT3^flox/flox,VGLUT3^ChAT-IRES-flox/flox,OK_ChATIRESVGLUT3fx_Extinction,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Extinction_Probe,,,Extinction Touch - Helena - DP,EXTINCTION TEST - Helena,30,0,2015-11-23 4:57:39 PM,2.231,18.567785714285716,10.359777777777778,5.870357142857142,20,3,571.188,14,8,,9,,21,76,105,284.85156666666666,1,,284.85156666666666
ires51m7,3_6       ,m,VGLUT3^ChAT-IRES-flox/flox,VGLUT3^ChAT-IRES-flox/flox,OK_ChATIRESVGLUT3fx_Extinction,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Extinction_Probe,,,Extinction Touch - Helena - DP,EXTINCTION TEST - Helena,30,0,2015-12-14 5:30:38 PM,2.7456666666666667,16.674578947368417,22.35341666666667,5.350736842105264,24,,624.076,19,13,1,3,5.714,34,158,21,306.37443333333334,1,1,306.37443333333334
ires50m4,3_6       ,m,VGLUT3^ChAT-IRES-flox/flox,VGLUT3^ChAT-IRES-flox/flox,OK_ChATIRESVGLUT3fx_Extinction,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Extinction_Probe,,,Extinction Touch - Helena - DP,EXTINCTION TEST - Helena,30,0,2015-12-14 5:24:16 PM,3.5985454545454543,396.651,62.69,5.874,25,1,682.353,1,1,1,12,6.839,,92,27,359.98063333333334,1,1,359.9806333333333
ires48m10,3_6       ,m,VGLUT3^ChAT-IRES-flox/flox,VGLUT3^ChAT-IRES-flox/flox,OK_ChATIRESVGLUT3fx_Extinction,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Extinction_Probe,,,Extinction Touch - Helena - DP,EXTINCTION TEST - Helena,30,0,2015-12-07 4:47:37 PM,5.005571428571429,13.167812500000002,15.8573,4.006875,8,1,627.197,16,4,,1,,29,118,25,302.7409,1,,302.74089999999995
ires50m5,3_6       ,m,VGLUT3^flox/flox,VGLUT3^ChAT-IRES-flox/flox,OK_ChATIRESVGLUT3fx_Extinction,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Extinction_Probe,,,Extinction Touch - Helena - DP,EXTINCTION TEST - Helena,30,0,2015-12-04 6:01:08 PM,6.2405,98.45783333333333,29.2255,4.082333333333333,10,5,683.263,6,1,,,,12,91,28,352.6443000000001,1,,352.6443000000001
ires51m8,3_6       ,m,VGLUT3^flox/flox,VGLUT3^ChAT-IRES-flox/flox,OK_ChATIRESVGLUT3fx_Extinction,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Extinction_Probe,,,Extinction Touch - Helena - DP,EXTINCTION TEST - Helena,30,0,2015-11-30 6:02:10 PM,5.615600000000001,40.01499999999999,12.103142857142856,5.439125000000001,9,,533.034,8,,,5,,20,,80,284.8126666666667,1,,284.8126666666667
ires43m10,3_6       ,m,VGLUT3^ChAT-IRES-flox/flox,VGLUT3^ChAT-IRES-flox/flox,OK_ChATIRESVGLUT3fx_Extinction,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Extinction_Probe,,,Extinction Touch - Helena - DP,EXTINCTION TEST - Helena,30,0,2015-11-30 5:18:34 PM,6.107200000000001,71.56325,36.887800000000006,6.62625,9,,697.53,8,5,,13,,37,,36,362.51636666666667,1,,362.5163666666668
ires48m8,3_6       ,m,VGLUT3^flox/flox,VGLUT3^ChAT-IRES-flox/flox,OK_ChATIRESVGLUT3fx_Extinction,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Extinction_Probe,,,Extinction Touch - Helena - DP,EXTINCTION TEST - Helena,30,0,2015-11-30 5:18:01 PM,1.1463333333333332,50.11280000000001,9.236714285714285,6.187600000000001,11,,663.069,10,1,1,1,11.193,32,102,92,330.4009666666667,1,1,330.4009666666667
ires48m9,3_6       ,m,VGLUT3^flox/flox,VGLUT3^ChAT-IRES-flox/flox,OK_ChATIRESVGLUT3fx_Extinction,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Extinction_Probe,,,Extinction Touch - Helena - DP,EXTINCTION TEST - Helena,30,0,2015-11-24 9:53:48 PM,4.185,37.10033333333333,13.135750000000002,7.212,12,,607.302,6,5,1,4,13.654,30,49,35,310.2182000000001,1,1,310.2182000000001
ires51m6,3_6       ,m,VGLUT3^ChAT-IRES-flox/flox,VGLUT3^ChAT-IRES-flox/flox,OK_ChATIRESVGLUT3fx_Extinction,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Extinction_Probe,,,Extinction Touch - Helena - DP,EXTINCTION TEST - Helena,30,0,2015-11-23 10:39:55 PM,6.515285714285715,59.91728571428571,18.8125,7.589999999999999,19,,643.451,7,,1,1,0.023,45,,126,315.19806666666676,1,1,315.19806666666676
ires37m6,3_6       ,m,VGLUT3^flox/flox,VGLUT3^ChAT-IRES-flox/flox,OK_ChATIRESVGLUT3fx_Extinction,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Extinction_Probe,,,Extinction Touch - Helena - DP,EXTINCTION TEST - Helena,30,0,2015-12-11 5:54:52 PM,3.6786666666666665,91.78666666666668,72.31566666666667,6.364666666666667,3,,711.699,3,,1,,26.248,28,83,12,361.29523333333333,1,1,361.2952333333334
ires37m6,3_6       ,m,VGLUT3^flox/flox,VGLUT3^ChAT-IRES-flox/flox,OK_ChATIRESVGLUT3fx_Extinction,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Extinction_Probe,,,Extinction Touch - Helena - DP,EXTINCTION TEST - Helena,30,0,2015-12-08 6:00:20 PM,3.3289999999999997,32.15821428571429,21.418166666666664,5.0135,5,,655.95,14,2,,,,34,87,8,338.3697666666667,1,,338.3697666666667
ires35m4,3_6       ,m,VGLUT3^flox/flox,VGLUT3^ChAT-IRES-flox/flox,OK_ChATIRESVGLUT3fx_Extinction,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Extinction_Probe,,,Extinction Touch - Helena - DP,EXTINCTION TEST - Helena,30,0,2015-12-07 5:07:17 PM,4.189583333333332,126.4155,9.478750000000002,5.379250000000001,17,,609.857,4,3,1,1,21.671,55,162,97,310.0434666666667,1,1,310.0434666666667
ires39m3,3_6       ,m,VGLUT3^flox/flox,VGLUT3^ChAT-IRES-flox/flox,OK_ChATIRESVGLUT3fx_Extinction,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Extinction_Probe,,,Extinction Touch - Helena - DP,EXTINCTION TEST - Helena,30,0,2015-12-02 5:56:40 PM,2.131125,53.18377777777778,14.126166666666668,4.437999999999999,20,1,685.212,9,1,1,1,5.313,45,,12,341.4907333333333,1,1,341.4907333333333
ires37m8,3_6       ,m,VGLUT3^ChAT-IRES-flox/flox,VGLUT3^ChAT-IRES-flox/flox,OK_ChATIRESVGLUT3fx_Extinction,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Extinction_Probe,,,Extinction Touch - Helena - DP,EXTINCTION TEST - Helena,30,0,2015-12-01 6:34:13 PM,1.6515,45.023,25.169375,6.1553,3,,648.228,10,2,1,,1.533,58,113,64,319.2683333333334,1,1,319.2683333333334
ires35m2,3_6       ,m,VGLUT3^ChAT-IRES-flox/flox,VGLUT3^ChAT-IRES-flox/flox,OK_ChATIRESVGLUT3fx_Extinction,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Extinction_Probe,,,Extinction Touch - Helena - DP,EXTINCTION TEST - Helena,30,0,2015-11-30 5:36:06 PM,4.297,36.397636363636366,20.784,5.0969999999999995,15,,574.409,11,7,,,,50,299,56,297.6810999999999,1,,297.6810999999999
ires43m8,3_6       ,m,VGLUT3^ChAT-IRES-flox/flox,VGLUT3^ChAT-IRES-flox/flox,OK_ChATIRESVGLUT3fx_Extinction,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Extinction_Probe,,,Extinction Touch - Helena - DP,EXTINCTION TEST - Helena,30,,2016-01-05 5:31:15 PM,3.4653333333333336,5.821,93.735,5.821,13,,735.731,1,3,,4,,14,68,5,382.70893333333333,1,,382.70893333333333
ires39m4,3_6       ,m,VGLUT3^ChAT-IRES-flox/flox,VGLUT3^ChAT-IRES-flox/flox,OK_ChATIRESVGLUT3fx_Extinction,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Extinction_Probe,,,Extinction Touch - Helena - DP,EXTINCTION TEST - Helena,30,,2015-12-28 5:11:20 PM,4.511714285714286,124.95575000000001,22.566499999999998,4.348,12,,708.849,4,3,1,2,89.259,27,84,22,367.44880000000006,1,1,367.4488
ires39m1,3_6       ,m,VGLUT3^ChAT-IRES-flox/flox,VGLUT3^ChAT-IRES-flox/flox,OK_ChATIRESVGLUT3fx_Extinction,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Extinction_Probe,,,Extinction Touch - Helena - DP,EXTINCTION TEST - Helena,30,0,2015-12-07 4:24:08 PM,4.292833333333333,131.74800000000002,6.355999999999999,5.346,15,,611.67,3,6,1,1,30.898,33,61,89,309.85293333333334,1,1,309.85293333333334
ires39m1,3_6       ,m,VGLUT3^ChAT-IRES-flox/flox,VGLUT3^ChAT-IRES-flox/flox,OK_ChATIRESVGLUT3fx_Extinction,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Extinction_Probe,,,Extinction Touch - Helena - DP,EXTINCTION TEST - Helena,30,0,2015-12-02 4:33:04 PM,2.192625,37.06963636363636,15.591428571428569,6.618363636363636,24,,559.352,11,3,1,9,2.849,13,84,87,293.1338333333333,1,1,293.13383333333337
ires41m2,3_6       ,m,VGLUT3^flox/flox,VGLUT3^ChAT-IRES-flox/flox,OK_ChATIRESVGLUT3fx_Extinction,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Extinction_Probe,,,Extinction Touch - Helena - DP,EXTINCTION TEST - Helena,30,0,2015-11-30 5:30:13 PM,4.649,77.70416666666667,27.637400000000003,7.328166666666667,18,,704.713,6,3,1,4,22.928,27,125,32,358.3738333333333,1,1,358.3738333333333
ires39m2,3_6       ,m,VGLUT3^ChAT-IRES-flox/flox,VGLUT3^ChAT-IRES-flox/flox,OK_ChATIRESVGLUT3fx_Extinction,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Extinction_Probe,,,Extinction Touch - Helena - DP,EXTINCTION TEST - Helena,30,0,2015-11-25 5:04:19 PM,4.929666666666667,17.279157894736837,10.6174,4.341210526315789,8,,583.338,19,3,1,3,12.175,25,112,46,304.0706333333333,1,1,304.0706333333333
ires51m7,3_6       ,m,VGLUT3^ChAT-IRES-flox/flox,VGLUT3^ChAT-IRES-flox/flox,OK_ChATIRESVGLUT3fx_Extinction,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Extinction_Probe,,,Extinction Touch - Helena - DP,EXTINCTION TEST - Helena,30,0,2015-12-16 5:42:07 PM,5.065333333333334,102.5414,21.5285,5.076,3,2,709.047,5,,1,6,1.568,18,120,32,355.07536666666675,1,1,355.07536666666675
ires50m4,3_6       ,m,VGLUT3^ChAT-IRES-flox/flox,VGLUT3^ChAT-IRES-flox/flox,OK_ChATIRESVGLUT3fx_Extinction,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Extinction_Probe,,,Extinction Touch - Helena - DP,EXTINCTION TEST - Helena,30,0,2015-12-11 6:07:56 PM,5.4345,,,,15,,633.93,,3,1,1,52.044,47,80,100,330.1176666666667,,1,330.1176666666667
ires47m7,3_6       ,m,VGLUT3^ChAT-IRES-flox/flox,VGLUT3^ChAT-IRES-flox/flox,OK_ChATIRESVGLUT3fx_Extinction,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Extinction_Probe,,,Extinction Touch - Helena - DP,EXTINCTION TEST - Helena,30,0,2015-12-08 5:20:20 PM,5.346333333333334,49.0292,52.057,5.8164,12,1,686.778,10,4,1,,163.273,26,89,8,355.73013333333336,1,1,355.73013333333336
ires48m8,3_6       ,m,VGLUT3^flox/flox,VGLUT3^ChAT-IRES-flox/flox,OK_ChATIRESVGLUT3fx_Extinction,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Extinction_Probe,,,Extinction Touch - Helena - DP,EXTINCTION TEST - Helena,30,0,2015-12-03 5:57:16 PM,4.929799999999999,188.1805,138.708,6.0765,9,,736.383,2,,1,3,7.84,16,,20,378.47996666666666,1,1,378.47996666666666
ires50m5,3_6       ,m,VGLUT3^flox/flox,VGLUT3^ChAT-IRES-flox/flox,OK_ChATIRESVGLUT3fx_Extinction,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Extinction_Probe,,,Extinction Touch - Helena - DP,EXTINCTION TEST - Helena,30,0,2015-12-01 6:27:44 PM,6.749833333333332,96.37716666666665,22.321800000000003,5.7139999999999995,15,,659.854,6,5,1,4,54.026,30,,37,340.40663333333333,1,1,340.40663333333333
ires48m8,3_6       ,m,VGLUT3^flox/flox,VGLUT3^ChAT-IRES-flox/flox,OK_ChATIRESVGLUT3fx_Extinction,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Extinction_Probe,,,Extinction Touch - Helena - DP,EXTINCTION TEST - Helena,30,0,2015-11-27 5:12:37 PM,4.7783999999999995,56.17575000000001,22.24542857142857,6.816000000000001,10,,660.526,8,,1,,0.683,23,49,22,331.3262000000001,1,1,331.32620000000003
ires51m6,3_6       ,m,VGLUT3^ChAT-IRES-flox/flox,VGLUT3^ChAT-IRES-flox/flox,OK_ChATIRESVGLUT3fx_Extinction,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Extinction_Probe,,,Extinction Touch - Helena - DP,EXTINCTION TEST - Helena,30,0,2015-11-25 10:50:29 PM,4.715333333333334,168.08,8.216,4.18,4,,666.585,1,,1,,1.207,36,,82,327.66566666666665,1,1,327.6656666666667
