AnimalID,Age,Sex,Genotype,Strain,ExpName,Housing,LightCycle,PISiteUser,SessionName,Image,Image_Description,Analysis_Name,Schedule_Name,Max_Number_Trials,Max_Schedule_Time,Date_Time,AVG_Blank Touch Latency,AVG_Correct Centre touch latency,AVG_Correct Reward Collection,AVG_Correct touch latency,AVG_End Summary - Blank Touches,AVG_End Summary - Centre ITI Touches,AVG_End Summary - Condition,AVG_End Summary - Corrects,AVG_End Summary - Left ITI Touches,AVG_End Summary - Omissions - Omission,AVG_End Summary - Right ITI Touches,AVG_Omission to Tray Latency,AVG_Reward IR Breaks - Reward Beam Cnt,AVG_Screen IR Breaks - Screen IR Cnt,AVG_Tray entered - Cnt,AVG_Trial Analysis - Condition,AVG_Trial Analysis - Correct,AVG_Trial Analysis - Omissions - Omission,AVG_Trial Analysis - Time
H913Gm1,3_6       ,m,VAChT^flox/flox,VAChT^D2-Cre-flox/flox,OK_D2CreVAChTfx_Extinction,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Extinction_Probe,,,Extinction Touch - Helena - DP,EXTINCTION TEST - Helena,30,0,2015-03-23 4:37:28 PM,3.8192857142857144,92.791,38.201,7.349,52,,717.641,1,16,1,2,10.434,126,211,33,369.2928,1,1,369.2928
DF9m1,3_6       ,m,VAChT^D2-Cre-flox/flox,VAChT^D2-Cre-flox/flox,OK_D2CreVAChTfx_Extinction,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Extinction_Probe,,,Extinction Touch - Helena - DP,EXTINCTION TEST - Helena,30,0,2015-03-11 5:27:31 PM,3.5345555555555555,87.77360000000002,37.8145,6.882199999999999,25,,659.826,5,12,,2,,338,107,50,337.4700333333334,1,,337.4700333333334
DF9m1,3_6       ,m,VAChT^D2-Cre-flox/flox,VAChT^D2-Cre-flox/flox,OK_D2CreVAChTfx_Extinction,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Extinction_Probe,,,Extinction Touch - Helena - DP,EXTINCTION TEST - Helena,30,0,2015-03-09 4:33:35 PM,5.442857142857143,72.28316666666666,13.936333333333332,6.087999999999998,17,,641.547,6,6,1,2,35.988,177,98,99,349.7307333333334,1,1,349.7307333333334
DF9m2,3_6       ,m,VAChT^flox/flox,VAChT^D2-Cre-flox/flox,OK_D2CreVAChTfx_Extinction,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Extinction_Probe,,,Extinction Touch - Helena - DP,EXTINCTION TEST - Helena,30,0,2015-03-02 5:10:05 PM,1.67925,27.880692307692303,5.600749999999999,3.938153846153846,10,,502.203,13,6,1,,5.511,49,104,119,252.80963333333335,1,1,252.80963333333335
H917Gm5,3_6       ,m,VAChT^flox/flox,VAChT^D2-Cre-flox/flox,OK_D2CreVAChTfx_Extinction,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Extinction_Probe,,,Extinction Touch - Helena - DP,EXTINCTION TEST - Helena,30,0,2015-03-08 12:32:45 PM,4.350307692307693,353.948,15.568,5.226,33,1,742.958,2,8,1,17,238.729,19,,11,389.9647333333332,1,1,389.9647333333332
H904Bm1,3_6       ,m,VAChT^D2-Cre-flox/flox,VAChT^D2-Cre-flox/flox,OK_D2CreVAChTfx_Extinction,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Extinction_Probe,,,Extinction Touch - Helena - DP,EXTINCTION TEST - Helena,30,0,2015-05-26 2:10:40 PM,8.592333333333334,39.42944444444444,11.164555555555557,5.7748888888888885,4,,574.67,9,2,1,1,3.514,98,61,115,280.8659666666666,1,1,280.8659666666666
H904Bm1,3_6       ,m,VAChT^D2-Cre-flox/flox,VAChT^D2-Cre-flox/flox,OK_D2CreVAChTfx_Extinction,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Extinction_Probe,,,Extinction Touch - Helena - DP,EXTINCTION TEST - Helena,30,0,2015-05-24 3:34:07 PM,1.666,25.87006666666667,10.533307692307691,4.253666666666667,1,,567.818,15,,1,,0.482,111,105,83,288.0442000000001,1,1,288.0442000000001
H908Bm6,3_6       ,m,VAChT^flox/flox,VAChT^D2-Cre-flox/flox,OK_D2CreVAChTfx_Extinction,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Extinction_Probe,,,Extinction Touch - Helena - DP,EXTINCTION TEST - Helena,30,0,2015-05-18 3:18:17 PM,5.7528999999999995,125.69550000000001,5.5005,2.4925,12,,645.826,4,13,1,1,21.915,62,221,27,323.4919666666667,1,1,323.4919666666667
H908Bm6,3_6       ,m,VAChT^flox/flox,VAChT^D2-Cre-flox/flox,OK_D2CreVAChTfx_Extinction,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Extinction_Probe,,,Extinction Touch - Helena - DP,EXTINCTION TEST - Helena,30,0,2015-05-16 2:01:05 PM,2.267125,24.84892857142857,5.6852222222222215,5.077285714285714,18,,550.231,14,2,,,,51,195,39,267.54956666666664,1,,267.54956666666664
H903Bm2,3_6       ,m,VAChT^flox/flox,VAChT^D2-Cre-flox/flox,OK_D2CreVAChTfx_Extinction,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Extinction_Probe,,,Extinction Touch - Helena - DP,EXTINCTION TEST - Helena,30,,2015-05-13 2:33:27 PM,4.818916666666667,132.39600000000002,5.034,5.008500000000001,32,,688.622,2,1,1,5,8.396,53,155,47,356.97549999999995,1,1,356.97549999999995
