AnimalID,Age,Sex,Genotype,Strain,ExpName,Housing,LightCycle,PISiteUser,SessionName,Image,Image_Description,Analysis_Name,Schedule_Name,Max_Number_Trials,Max_Schedule_Time,Date_Time,Stimulus_Duration,Intervention,AVG_Omissions - Total,AVG_Perseverative Correct - Total,AVG_Perseverative Incorrect - Total,AVG_Premature Responses - Total,AVG_Reward Collection Latency,AVG_Threshold - Accuracy %,AVG_Threshold - Condition,AVG_Threshold - Omission %,AVG_Threshold - Trials,AVG_Trial Analysis - Accuracy%,AVG_Trial Analysis - Correct,AVG_Trial Analysis - Correct Response Latency,AVG_Trial Analysis - Incorrect,AVG_Trial Analysis - Incorrect Response Latency,AVG_Trial Analysis - Omission,AVG_Trial Analysis - Omission%,AVG_Trial Analysis - Premature,AVG_Trial Analysis - Reward Collection Latency,AVG_Trial Analysis - Stimulus Duration
H909Bm1,3_6       ,m,VAChT^D2-Cre-flox/flox,VAChT^D2-Cre-flox/flox,OK_D2CreVAChTfx_5Choice,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Training,,,Cam Mouse5C Touch Var1,5CSRTT_2s_Var1,50,3600,2015-07-20 4:30:49 PM,2000,First touchscreen task performed with the mice,11,3,3,7,1.4617741935483874,79.5,1686.99,22,50,83.69387755102042,1,1.1824193548387096,1,2.2835,1,14.500100380952382,1,1.4617741935483868,2
H909Bm1,3_6       ,m,VAChT^D2-Cre-flox/flox,VAChT^D2-Cre-flox/flox,OK_D2CreVAChTfx_5Choice,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Training,,,Cam Mouse5C Touch Var1,5CSRTT_2s_Var1,50,3600,2015-07-21 3:37:12 PM,2000,First touchscreen task performed with the mice,7,3,4,11,1.4353714285714287,81.4,1785.668,14,50,71.64897959183676,1,1.3252857142857142,1,1.469875,1,21.30231531914894,1.5714285714285714,1.4353714285714287,2
H909Bm1,3_6       ,m,VAChT^D2-Cre-flox/flox,VAChT^D2-Cre-flox/flox,OK_D2CreVAChTfx_5Choice,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Training,,,Cam Mouse5C Touch Var1,5CSRTT_2s_Var1,50,3600,2015-07-22 12:36:55 PM,2000,First touchscreen task performed with the mice,7,5,,5,1.704352941176471,79.1,1669.419,14,50,88.55000000000004,1,1.8492941176470588,1,2.3292222222222225,1,20.32532387755102,1,1.704352941176471,2
H909Bm1,3_6       ,m,VAChT^D2-Cre-flox/flox,VAChT^D2-Cre-flox/flox,OK_D2CreVAChTfx_5Choice,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Training,,,Cam Mouse5C Touch Var1,5CSRTT_2s_Var1,50,3600,2015-07-23 1:48:43 PM,2000,First touchscreen task performed with the mice,5,8,,8,1.746764705882353,75.6,1632.758,10,50,64.15599999999999,1,1.6858823529411768,1,2.4721818181818183,1,12.011085622222222,1.1428571428571428,1.746764705882353,2
H909Bm1,3_6       ,m,VAChT^D2-Cre-flox/flox,VAChT^D2-Cre-flox/flox,OK_D2CreVAChTfx_5Choice,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Training,,,Cam Mouse5C Touch Var1,5CSRTT_2s_Var1,50,3600,2015-07-24 2:14:01 PM,2000,First touchscreen task performed with the mice,5,2,2,5,1.5078947368421052,84.4,1769.576,10,50,79.54375000000003,1,1.2164473684210524,1,2.7465714285714284,1,14.54471544,1.25,1.5078947368421052,2
H909Bm1,3_6       ,m,VAChT^D2-Cre-flox/flox,VAChT^D2-Cre-flox/flox,OK_D2CreVAChTfx_5Choice,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Training,,,Cam Mouse5C Touch Var1,5CSRTT_2s_Var1,50,3600,2015-07-27 2:37:45 PM,2000,First touchscreen task performed with the mice,4,2,,12,1.3785897435897434,84.8,1777.711,8,50,76.42600000000002,1,1.282153846153846,1,2.3729999999999998,1,6.981177239130435,1.2,1.3785897435897434,2
H909Bm1,3_6       ,m,VAChT^D2-Cre-flox/flox,VAChT^D2-Cre-flox/flox,OK_D2CreVAChTfx_5Choice,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Training,,,Cam Mouse5C Touch Var1,5CSRTT_2s_Var1,50,3600,2015-07-28 1:27:31 PM,2000,First touchscreen task performed with the mice,4,1,4,13,1.7124594594594598,80.4,1977.487,8,50,71.47391304347828,1,1.5340810810810812,1,1.706777777777778,1,18.850461160000005,1.1818181818181819,1.7124594594594598,2
H909Bm1,3_6       ,m,VAChT^D2-Cre-flox/flox,VAChT^D2-Cre-flox/flox,OK_D2CreVAChTfx_5Choice,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Training,,,Cam Mouse5C Touch Var1,5CSRTT_4s_Var1,50,3600,2015-02-20 2:32:15 PM,4000,First touchscreen task performed with the mice,13,3,1,21,1.8472000000000002,64.5,3600,29.5,44,51.87560975609755,1,2.5407,1,2.659727272727272,1,31.07386441860466,2.111111111111111,1.8472000000000002,4
H909Bm1,3_6       ,m,VAChT^D2-Cre-flox/flox,VAChT^D2-Cre-flox/flox,OK_D2CreVAChTfx_5Choice,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Training,,,Cam Mouse5C Touch Var1,5CSRTT_4s_Var1,50,3600,2015-02-23 2:26:43 PM,4000,First touchscreen task performed with the mice,24,,,10,1.5803571428571423,87.5,3600,60,40,88.38750000000006,1,2.586214285714285,1,4.8575,1,52.787015000000004,1.25,1.5803571428571423,4
H909Bm1,3_6       ,m,VAChT^D2-Cre-flox/flox,VAChT^D2-Cre-flox/flox,OK_D2CreVAChTfx_5Choice,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Training,,,Cam Mouse5C Touch Var1,5CSRTT_4s_Var1,50,3600,2015-02-24 2:17:47 PM,4000,First touchscreen task performed with the mice,12,1,,29,1.35475,42.1,2825.239,24,50,35.71666666666666,1,2.2486875000000004,1,2.712,1,26.21186714285715,2.0714285714285716,1.35475,4
H909Bm1,3_6       ,m,VAChT^D2-Cre-flox/flox,VAChT^D2-Cre-flox/flox,OK_D2CreVAChTfx_5Choice,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Training,,,Cam Mouse5C Touch Var1,5CSRTT_4s_Var1,50,3600,2015-02-25 2:48:14 PM,4000,First touchscreen task performed with the mice,20,1,,8,1.4309199999999997,83.3,3086.025,40,50,93.26808510638301,1,2.2512,1,3.9444000000000004,1,53.40276119999999,1.3333333333333333,1.4309199999999997,4
H909Bm1,3_6       ,m,VAChT^D2-Cre-flox/flox,VAChT^D2-Cre-flox/flox,OK_D2CreVAChTfx_5Choice,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Training,,,Cam Mouse5C Touch Var1,5CSRTT_4s_Var1,50,3600,2015-02-26 2:23:02 PM,4000,First touchscreen task performed with the mice,20,,,11,1.6488260869565219,76.7,3347.366,40,50,83.61600000000003,1,1.9627826086956515,1,2.8260000000000005,1,54.41944857142855,1.2222222222222223,1.6488260869565219,4
